CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
0.8119999999999999,2,1,0.013513513513513542,0.4,0.519231613122284,0.0,1,1,0.6676244381210049
0.648,2,0,0.2837837837837838,0.6000000000000001,0.0,0.3333333333333333,1,1,0.04745211230280547
0.5159999999999999,0,1,0.3243243243243243,1.0,0.6518505979858198,0.0,1,0,0.19399964989110752
0.47599999999999987,2,0,0.05405405405405406,0.9,0.267750902368368,0.0,1,1,0.8177112874396508
0.596,0,1,0.10810810810810811,0.9,0.6493626555706343,0.0,1,0,0.4916842133859167
0.5319999999999999,2,1,0.16216216216216217,0.5,0.0,0.3333333333333333,0,1,0.9806773211236485
0.45599999999999985,2,1,0.13513513513513514,0.4,0.0,0.3333333333333333,0,0,0.034305568417396244
0.39,1,0,0.35135135135135137,0.2,0.5083196926688442,0.0,1,0,0.5418661044111969
0.8019999999999999,1,1,0.4324324324324324,0.2,0.3861663115889005,0.0,1,0,0.38581109418934806
0.9999999999999999,0,1,0.2972972972972973,0.6000000000000001,0.38796624557803533,0.0,0,1,0.44389074741444484
0.6900000000000001,0,1,0.24324324324324326,0.4,0.6438191697672948,0.0,1,0,0.5045552428856677
0.37,0,0,0.27027027027027034,0.8,0.0,0.3333333333333333,1,0,0.6830603979864587
0.7439999999999999,0,1,0.16216216216216217,0.5,0.0,0.3333333333333333,1,0,0.8319287202709497
0.7259999999999999,0,1,0.3378378378378379,0.5,0.3443395683083917,0.0,1,1,0.6499430885437796
0.19799999999999995,0,0,0.040540540540540515,0.7000000000000001,0.0,0.3333333333333333,0,0,0.8787935821908142
0.564,0,0,0.4189189189189189,0.5,0.6694459092932913,0.0,0,0,0.7009739360989734
0.21399999999999997,2,1,0.35135135135135137,0.7000000000000001,0.0,0.3333333333333333,0,0,0.9300663741021079
0.7060000000000001,0,1,0.25675675675675674,0.1,0.5969040258536843,0.0,1,0,0.1027579605371545
0.31399999999999995,1,0,0.37837837837837845,0.8,0.40966896160907407,0.0,1,1,0.3513776995044093
0.37,1,1,0.02702702702702703,0.9,0.5375664677240071,0.0,1,1,0.5940318791206773
0.41200000000000003,2,1,0.37837837837837845,0.30000000000000004,0.5251732287001468,0.0,1,1,0.5423765589739118
0.642,1,0,0.35135135135135137,0.0,0.33776674027291326,0.3333333333333333,0,1,0.17302278404409993
0.7199999999999999,2,0,0.445945945945946,0.4,0.3732868193615982,0.0,0,1,0.7069740160466742
0.5479999999999999,0,0,0.0675675675675676,0.5,0.0,0.3333333333333333,0,0,0.6620376047368662
0.394,1,0,0.2837837837837838,0.6000000000000001,0.297316531983165,0.6666666666666667,1,1,0.42853793716020666
0.43000000000000005,0,1,0.4189189189189189,0.7000000000000001,0.0,0.3333333333333333,1,1,0.447863167558924
0.65,0,0,0.1891891891891892,0.2,0.6204244520155574,0.0,1,0,0.48813419526760643
0.582,0,0,0.3243243243243243,0.6000000000000001,0.0,0.3333333333333333,0,0,0.6056048341242802
0.5539999999999999,1,0,0.22972972972972977,0.2,0.5494380606883058,0.0,1,1,0.8614096600736829
0.7559999999999999,0,0,0.37837837837837845,0.2,0.43725131586294663,0.0,1,0,0.10099425822416945
0.46999999999999986,0,0,0.2027027027027027,0.4,0.6090323365953085,0.0,1,0,0.31593640345512153
0.576,2,1,0.16216216216216217,0.9,0.5452752948418221,0.3333333333333333,1,1,0.5330825637116385
0.366,1,1,0.27027027027027034,0.4,0.2804426291168658,0.3333333333333333,1,1,0.5208076899081837
0.814,1,1,0.24324324324324326,0.1,0.2604631625533698,0.0,0,0,0.32244023396559557
0.7040000000000001,0,0,0.14864864864864863,0.6000000000000001,0.5947370504095907,0.0,1,1,0.04774318597191014
0.5479999999999999,0,0,0.27027027027027034,0.30000000000000004,0.0,0.3333333333333333,1,1,0.8183721817622485
0.618,2,1,0.12162162162162166,0.4,0.0,0.3333333333333333,1,0,0.49655526970166747
0.46999999999999986,1,1,0.25675675675675674,0.6000000000000001,0.6078038298338582,0.0,1,1,0.4993840574979061
0.406,2,1,0.3108108108108108,0.6000000000000001,0.5778224537301181,0.0,1,1,0.09633172632451151
0.31599999999999995,0,1,0.22972972972972977,0.1,0.3463289816195891,0.0,0,0,0.2966007168176893
0.568,2,1,0.21621621621621623,0.1,0.0,0.3333333333333333,1,0,0.3097122898377317
0.5519999999999999,1,0,0.0675675675675676,0.6000000000000001,0.34236191275908084,0.0,1,0,0.5485909668003414
0.43800000000000006,0,0,0.22972972972972977,0.4,0.3743935635380884,0.0,1,0,0.9238420103354666
0.578,2,1,0.14864864864864863,0.4,0.5318277632165316,0.3333333333333333,1,0,0.4897590647459807
0.5319999999999999,1,1,0.14864864864864863,0.8,0.5951362563182526,0.0,1,0,0.7037001627020761
0.5339999999999999,0,1,0.16216216216216217,0.30000000000000004,0.5261330207814655,0.0,1,0,0.7146780126362394
0.5339999999999999,0,0,0.8243243243243243,0.7000000000000001,0.0,0.0,1,1,0.8029746448218329
0.5139999999999999,1,1,0.5810810810810811,0.2,0.655738351774619,0.3333333333333333,1,1,0.17859000572691697
0.372,0,0,0.5810810810810811,0.8,0.2598277651296588,0.0,1,1,0.3212837939756756
0.816,0,0,0.2027027027027027,0.7000000000000001,0.0,0.3333333333333333,0,0,0.4147794781756535
0.922,0,0,0.39189189189189194,0.30000000000000004,0.491695014497719,0.3333333333333333,0,0,0.8600394925632378
0.624,0,1,0.6216216216216217,0.0,0.3939774511635382,0.0,0,1,0.21332753187189138
0.63,1,0,0.36486486486486486,0.5,0.6195648998364237,0.3333333333333333,1,0,0.25906397051800956
0.7999999999999999,1,0,0.4594594594594595,0.6000000000000001,0.42833151898446103,0.0,1,0,0.6310920910961524
0.5099999999999999,0,1,0.2837837837837838,0.30000000000000004,0.0,0.3333333333333333,1,0,0.9970968178163502
0.5019999999999999,2,0,0.02702702702702703,0.9,0.4880332488780605,0.3333333333333333,1,0,0.433767957651933
0.4959999999999999,0,0,0.1891891891891892,0.4,0.4430345404383111,0.0,1,1,0.8369303044661597
0.20999999999999996,0,1,0.2972972972972973,0.1,0.0,0.6666666666666667,0,1,0.6498140615598296
